"question_no","category_1","category_2","question_label","question_full","response_options","response_type","value_count","value_code_map","other_input_expected","data_column_role","dashboard_value_type","formula"
"P1","응답자 정보","패널 기본정보","응답코드","","","주관식 문자","","","N","raw","text",
"P2","응답자 정보","패널 기본정보","패널코드","","","주관식 문자","","","N","raw","text",
"P3","응답자 정보","패널 기본정보","성별","","남|여","객관식 단일","2","1=남|2=여","N","raw","label",
"P4","응답자 정보","패널 기본정보","나이","","","주관식 숫자","","","N","raw","number",
"P5","응답자 정보","패널 기본정보","세대","","Z세대(1996-2004)|후기 밀레니얼(1989-1995)|전기 밀레니얼(1981-1988)|X세대(1970-1980)|86세대(1964-1969)","객관식 단일","5","1=Z세대(1996-2004)|2=후기 밀레니얼(1989-1995)|3=전기 밀레니얼(1981-1988)|4=X세대(1970-1980)|5=86세대(1964-1969)","N","raw","label",
"P6","응답자 정보","패널 기본정보","거주 지역(상세)","","서울|경기|인천|강원|충북|충남|대전|경북|경남|대구|울산|부산|전북|전남|광주|제주|세종","객관식 단일","17","1=서울|2=경기|3=인천|4=강원|5=충북|6=충남|7=대전|8=경북|9=경남|10=대구|11=울산|12=부산|13=전북|14=전남|15=광주|16=제주|17=세종","N","raw","label",
"P7","응답자 정보","패널 기본정보","거주 지역","","서울|서울 외 수도권|5대광역시|기타지역","객관식 단일","4","1=서울|2=서울 외 수도권|3=5대광역시|4=기타지역","N","raw","label",
"Q1","응답자 정보","소속 기업 특성","사업장 인원","현재 근무하고 있는 사업장(오피스)의 인원은 몇 명인가요?","1~99인|100~299인|300~999인|1,000인 이상","객관식 단일","4","1=1~99인|2=100~299인|3=300~999인|4=1,000인 이상","N","raw","label",
"Q2","응답자 정보","소속 기업 특성","사업장 지역","귀하께서 근무하시는 기업의 사업장 소재지는 어디인가요?","강원도|경기도|경상남도|경상북도|광주광역시|대구광역시|대전광역시|부산광역시|서울특별시|세종특별자치시|울산광역시|인천광역시|전라남도|전라북도|제주특별자치도|충청남도|충청북도","객관식 단일","17","1=강원도|2=경기도|3=경상남도|4=경상북도|5=광주광역시|6=대구광역시|7=대전광역시|8=부산광역시|9=서울특별시|10=세종특별자치시|11=울산광역시|12=인천광역시|13=전라남도|14=전라북도|15=제주특별자치도|16=충청남도|17=충청북도","N","raw","label",
"Q3","응답자 정보","소속 기업 특성","업종","귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?","IT/통신|미디어/광고|제조/생산|제약/바이오|유통/판매|금융|디자인/설계|건설/시공|법무/세무/회계|컨설팅/연구/조사|관공서/공공기관|의료/보건업|교육(학교, 학원 등)|교통/물류|군대/경찰/소방|기타(직접 입력)","객관식 단일","16","1=IT/통신|2=미디어/광고|3=제조/생산|4=제약/바이오|5=유통/판매|6=금융|7=디자인/설계|8=건설/시공|9=법무/세무/회계|10=컨설팅/연구/조사|11=관공서/공공기관|12=의료/보건업|13=교육(학교, 학원 등)|14=교통/물류|15=군대/경찰/소방|16=기타(직접 입력)","Y","raw","label",
"Q3_TEXT","응답자 정보","소속 기업 특성","업종__기타_텍스트","기타 (직접 입력) 텍스트","","객관식 단일","","","N","expanded","text",
